TransactionID,Date,Amount,Region,Department,CustomerID,TransactionType,RiskScore,IsFraud,RelatedComplianceCheckID
T100000,26-08-2024,67.66,South,Risk,C1473,Payment,3.16,0,
T100001,29-08-2025,104.56,North,Risk,C1707,Deposit,3.98,0,C200000
T100002,12-04-2025,643.28,South,Corporate,C1271,Payment,5.45,0,C200001
T100003,16-01-2025,98.63,South,Corporate,C2496,Transfer,4.27,0,
T100004,09-04-2024,1533.27,West,Corporate,C1466,Deposit,7.25,1,C200002
T100005,09-04-2024,370.43,Central,Corporate,C2427,Payment,4.77,0,
T100006,07-02-2024,447.07,West,Risk,C1754,Withdrawal,5.53,0,C200003
T100007,06-07-2025,288.86,Central,Support,C1223,Withdrawal,6.84,0,
T100008,18-01-2025,1019.86,West,Corporate,C2986,Payment,3.49,0,C200004
T100009,27-03-2025,1032.56,West,Online,C2135,Payment,5.24,0,
T100010,14-01-2024,603.09,South,Risk,C2478,Transfer,5.97,0,
T100011,10-09-2025,794.53,South,Retail,C1287,Payment,3.53,0,
T100012,15-06-2025,312.78,Central,Support,C2476,Transfer,3.38,0,
T100013,15-05-2024,773.28,Central,Risk,C1340,Transfer,4.05,0,C200005
T100014,26-04-2024,268.96,East,Corporate,C1157,Payment,4.9,0,C200006
T100015,27-04-2024,404.51,North,Online,C1659,Payment,5.35,0,
T100016,13-07-2024,290.16,West,Retail,C1185,Payment,3.43,0,
T100017,30-11-2024,233.07,South,Support,C1028,Payment,4.85,0,
T100018,02-10-2024,176.45,North,Corporate,C2431,Transfer,3.36,0,
T100019,04-07-2024,707.14,West,Risk,C1896,Transfer,6.62,0,C200007
T100020,25-01-2025,1944.44,East,Risk,C1746,Payment,6.44,0,
T100021,29-03-2024,1644.71,West,Support,C2050,Withdrawal,6.59,0,
T100022,05-07-2024,89.31,Central,Online,C1984,Payment,5.57,0,
T100023,21-08-2024,1895.13,East,Corporate,C2786,Deposit,6.64,0,
T100024,17-10-2024,275.4,East,Support,C1532,Payment,3.77,0,
T100025,15-05-2025,829.55,South,Support,C1912,Payment,5.38,0,
T100026,07-05-2024,135.98,South,Risk,C2115,Withdrawal,2.39,0,C200008
T100027,24-11-2024,478.37,West,Support,C1927,Transfer,3.52,0,
T100028,12-01-2025,587.85,East,Retail,C1171,Payment,5.7,0,
T100029,30-01-2024,67.93,North,Retail,C1113,Payment,5.49,0,C200009
T100030,22-01-2025,837.08,North,Corporate,C2121,Payment,6.52,0,C200010
T100031,18-04-2024,2028.64,East,Support,C2278,Payment,6.27,0,
T100032,11-02-2024,327.15,East,Risk,C2045,Payment,2.77,0,C200011
T100033,28-08-2025,2063.59,West,Corporate,C1553,Transfer,6.03,0,
T100034,08-09-2025,321.3,East,Online,C2144,Deposit,3.35,0,
T100035,30-05-2025,1118.23,North,Risk,C1210,Withdrawal,5.9,0,
T100036,13-07-2024,28.15,East,Online,C2725,Payment,1.28,0,
T100037,03-03-2024,7350.57,Central,Corporate,C1815,Deposit,6.96,0,
T100038,12-03-2025,2427.34,North,Retail,C2671,Payment,5.36,0,
T100039,07-10-2024,286.7,West,Risk,C1385,Payment,4.58,0,
T100040,18-03-2024,37.84,East,Risk,C1900,Withdrawal,2.44,0,
T100041,11-11-2024,570,West,Corporate,C2307,Payment,3.09,0,
T100042,22-01-2024,71.33,North,Risk,C2923,Payment,4.74,0,
T100043,03-08-2025,688.02,Central,Risk,C2076,Payment,4.74,0,
T100044,14-06-2024,661.08,West,Corporate,C2891,Payment,4.55,0,
T100045,26-02-2025,130.36,Central,Support,C1640,Payment,3.76,0,C200012
T100046,17-07-2024,1548.68,South,Corporate,C2614,Withdrawal,4.88,0,
T100047,27-11-2024,1060.71,West,Risk,C2484,Payment,4.61,0,
T100048,14-12-2024,1301.13,West,Corporate,C2758,Payment,7.27,0,
T100049,27-04-2024,407.74,South,Risk,C2744,Payment,4.83,0,
T100050,10-09-2025,73.8,South,Online,C2925,Withdrawal,3.01,0,
T100051,09-05-2025,1304.33,West,Online,C2879,Payment,3.55,0,C200013
T100052,22-08-2025,291.65,North,Retail,C1950,Payment,3.88,0,
T100053,24-07-2025,76.12,West,Corporate,C2331,Withdrawal,2.39,0,
T100054,16-01-2025,2043.56,North,Corporate,C2356,Payment,5.36,0,
T100055,11-08-2025,5010.49,North,Online,C1212,Payment,8.31,0,C200014
T100056,26-02-2024,383.95,West,Online,C2559,Transfer,6.41,0,
T100057,05-05-2024,5382.7,North,Online,C1189,Payment,6.23,0,
T100058,29-01-2024,450.15,Central,Retail,C2013,Payment,3.97,0,
T100059,26-07-2024,255.56,Central,Retail,C1183,Payment,5.09,0,
T100060,04-09-2024,189.32,West,Support,C2237,Payment,5.53,0,C200015
T100061,22-06-2024,2876.99,West,Corporate,C1092,Deposit,5.78,0,
T100062,12-06-2025,158.19,Central,Retail,C2431,Payment,6.49,0,
T100063,15-08-2024,974.89,South,Risk,C2643,Payment,4.69,0,
T100064,28-06-2024,206.23,Central,Corporate,C1715,Withdrawal,3.82,0,
T100065,12-12-2024,232.21,North,Support,C2299,Payment,4.15,0,
T100066,30-03-2024,1388.94,South,Online,C2001,Payment,5.19,0,
T100067,26-05-2025,255.69,East,Support,C2057,Transfer,3.02,0,
T100068,17-02-2024,248.2,West,Corporate,C2806,Transfer,5.31,0,C200016
T100069,21-09-2025,1570.84,North,Online,C1818,Transfer,5.33,0,
T100070,07-05-2025,2743.19,South,Support,C1244,Payment,8.65,0,C200017
T100071,06-05-2024,874.48,East,Support,C2662,Withdrawal,6.19,0,C200018
T100072,04-01-2024,183.88,South,Corporate,C2795,Payment,4.56,0,
T100073,04-06-2025,218.61,West,Retail,C2332,Payment,6.61,0,
T100074,26-03-2025,444.03,West,Risk,C2677,Payment,5.65,0,C200019
T100075,10-04-2025,592.95,South,Support,C1704,Withdrawal,5.81,0,
T100076,07-05-2025,123.29,North,Risk,C2440,Transfer,3.09,0,
T100077,17-02-2024,960.68,West,Corporate,C2403,Withdrawal,5.04,0,
T100078,16-08-2024,447.03,East,Corporate,C1049,Transfer,5.99,0,C200020
T100079,14-03-2024,51.48,North,Retail,C1238,Payment,4.26,0,
T100080,04-07-2025,132.33,South,Online,C2258,Payment,3.22,0,
T100081,01-02-2025,220.31,South,Risk,C1318,Transfer,7.1,0,
T100082,30-07-2024,369.66,North,Support,C1561,Payment,4.41,0,
T100083,10-02-2024,3893.78,East,Online,C2116,Payment,7.72,1,C200021
T100084,17-07-2024,536.9,West,Risk,C1759,Deposit,5.24,0,C200022
T100085,26-07-2024,147.09,East,Risk,C1329,Withdrawal,4.56,0,
T100086,10-04-2025,525.71,Central,Online,C2443,Payment,4.5,0,
T100087,10-02-2025,264.41,North,Online,C2485,Withdrawal,4.67,0,
T100088,20-07-2025,595.68,East,Retail,C2365,Transfer,3.14,0,C200023
